Stammdatenschema,Element
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00000601/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000255/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000253/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00000463/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000258/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G00002069/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G00002071/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G00001802/1.2
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G60000220/1.1
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001378/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001388/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000283/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001287/1.1
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00002364/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001377/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00002402/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001402/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001393/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00002465/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001403/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001394/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00002403/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000186/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00001386/1.0
