Element,Grundlage
https://test.schema-repository.fitko.dev/fields/baukasten/F60000248/1.1,XInneres.Meldeanschrift.zusatzangaben Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/1.1,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000262/1.1,XInneres.Auslandsanschrift.Anschriftzone.zeile.anschrift Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000248/1.1,XInneres.Meldeanschrift.zusatzangaben Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000244/1.2,XInneres.Meldeanschrift.hausnummer Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000228/1.2,"§ 5 (2) Nr. 2 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; 
Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.vorname vom 31.08.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000241/1.1,ITU E.123
https://test.schema-repository.fitko.dev/groups/baukasten/G60000091/1.2,Xinneres.Auslandsanschrift.Druckbild Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F00000601/1.0,§ 3 MuSchG; § 5 MuSchG
https://test.schema-repository.fitko.dev/fields/baukasten/F60000261/1.2,"XMeld.type.AnschriftMelderecht.Ausland.staat Version 2.4.4; 
Codeliste laut Xmeld und DSMeld: Codeliste Destatis Staat (urn:de:bund:destatis:bevoelkerungsstatistik:schluessel:staat)"
https://test.schema-repository.fitko.dev/groups/baukasten/G60000087/1.1,XInneres.PostalischeInlandsanschrift.Postfachanschrift Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000087/1.1,XInneres.PostalischeInlandsanschrift.Postfachanschrift Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000229/1.1,§ 5 (2) Nr. 3 PAuswG vom 21.6.2019; Tabelle 9 BSI TR-03123 Version 1.5.1 (dort als Titel); XMeld.type.NameNatuerlichePerson.doktorgrad Version 2.4.4
https://test.schema-repository.fitko.dev/fields/baukasten/F60000227/1.1,§ 5 (2) Nr. 1 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.familienname vom 31.01.2020
https://test.schema-repository.fitko.dev/fields/baukasten/F60000244/1.2,XInneres.Meldeanschrift.hausnummer Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000319/1.2,"XOEV.Kernkomponente.NameOrganisation.name vom 01.08.2017; XGewerbeanzeige.Betrieb.eingetragenerName Version 2.2; 
XUnternehmen.Kerndatenmodell.Eingetragener Name Version 1.0"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/1.1,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/groups/baukasten/G00000253/1.0,§ 27 (1) - (2) MuSchG
https://test.schema-repository.fitko.dev/fields/baukasten/F00000466/1.0,§ 11 (6) Nr. 3 MuSchG; § 12 (5) Nr. 3 MuSchG; § 27 (1) MuSchG
https://test.schema-repository.fitko.dev/fields/baukasten/F00000463/1.0,§ 1 (2) MuSchG; §§ 3-6 MuSchG; § 2 MuSchEltZV
https://test.schema-repository.fitko.dev/fields/baukasten/F60000227/1.1,§ 5 (2) Nr. 1 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.familienname vom 31.01.2020
https://test.schema-repository.fitko.dev/groups/baukasten/G60000092/1.1,XInneres.Auslandsanschrift.Druckbild.anschriftzone Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000228/1.2,"§ 5 (2) Nr. 2 PAuswG vom 21.6.2019; Anhang 3 PAuswV vom 28.9.2017; 
Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.vorname vom 31.08.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000243/1.1,XInneres.Meldeanschrift.strasse Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F00000464/1.0,§ 6 MuSchG; § 27 (1) MuSchG; § 10 ArbZG
https://test.schema-repository.fitko.dev/fields/baukasten/F00000467/1.0,§ 15 MuSchG
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/groups/baukasten/G60000083/1.1,"§ 5 (2) PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017;
Tabelle 9 BSI TR-03123 Version 1.5.1"
https://test.schema-repository.fitko.dev/fields/baukasten/F00000462/1.0,§ 3 MuSchG
https://test.schema-repository.fitko.dev/fields/baukasten/F60000249/1.1,XInneres.PostalischeInlandsanschrift.postfach Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F00002483/1.0,RFC 5322; RFC 5321
https://test.schema-repository.fitko.dev/fields/baukasten/F00000468/1.0,§ 15 MuSchG
https://test.schema-repository.fitko.dev/fields/baukasten/F60000240/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F60000242/1.1,RFC 5322; RFC 5321
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F00000465/1.0,§ 5 MuSchG; § 27 (1) MuSchG; § 28 MuSchG
https://test.schema-repository.fitko.dev/groups/baukasten/G00000258/1.0,"§§ 5-6, 11-12, 27-28 MuSchG; § 10 ArbZG"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000249/1.1,XInneres.PostalischeInlandsanschrift.postfach Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/1.1,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000246/1.1,XInneres.Meldeanschrift.postleitzahl Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000243/1.1,XInneres.Meldeanschrift.strasse Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000240/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F60000241/1.1,ITU E.123
https://test.schema-repository.fitko.dev/fields/baukasten/F60000247/1.1,"§ 5 (2) Nr. 9 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 (Wohnort) PAuswV vom 28.9.2017; Tabelle 11 BSI TR-03123, Version 1.5.1;  Xinneres.Meldeanschrift.Wohnort Version 8; XOEV.Kernkomponente.Anschrift.ort vom 31.01.2020"
https://test.schema-repository.fitko.dev/groups/baukasten/G00000255/1.0,§ 3 MuSchG; § 15 MuSchG; § 27 (1-2) MuSchG
https://test.schema-repository.fitko.dev/groups/baukasten/G00002085/1.0,§ 18d AufenthG; S. 30-34 Richtlinie 2016/801 des Rates
https://test.schema-repository.fitko.dev/fields/baukasten/F60000242/1.1,RFC 5322; RFC 5321
https://test.schema-repository.fitko.dev/fields/baukasten/F00002932/1.0,§ 19c (2) AufenthG
https://test.schema-repository.fitko.dev/fields/baukasten/F00002941/1.0,"

"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000262/1.1,XInneres.Auslandsanschrift.Anschriftzone.zeile.anschrift Version 8
https://test.schema-repository.fitko.dev/fields/baukasten/F60000248/1.1,XInneres.Meldeanschrift.zusatzangaben Version 8
https://test.schema-repository.fitko.dev/rules/baukasten/R60000021/3.1,"
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000355/1.1,"§ 5 (2) Nr. 8 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1

"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000332/1.3,XPersonenstand:Code.Geschlecht Version 1.7.5; basierend auf DSMeld.Code.Geschlecht urn:de:dsmeld:schluesseltabelle:geschlecht Version 3
https://test.schema-repository.fitko.dev/groups/baukasten/G60000087/2.1,"XInneres.PostalischeInlandsanschrift.Postfachanschrift Version 8
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002084/1.0,"§ 21 (1), (3), (5) AufenthG
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002077/1.0,"§ 20 (1) AufenthG
"
https://test.schema-repository.fitko.dev/fields/baukasten/F60000230/2.0,§ 5 (2) Nr. 1 PAuswG vom 21.6.2019; Anhang 3 Abschnitt 1 PAuswV vom 28.9.2017; Tabelle 9 BSI TR-03123 Version 1.5.1; XOEV.Kernkomponente.NameNatuerlichePerson.geburtsname vom 31.01.2020
https://test.schema-repository.fitko.dev/fields/baukasten/F00002943/1.0,"
"
https://test.schema-repository.fitko.dev/groups/baukasten/G00002086/1.0,§ 18d AufenthG; S. 30-34 Richtlinie 2016/801 des Rates
https://test.schema-repository.fitko.dev/fields/baukasten/F00002920/1.0,"§§ 18, 18a, 18b, 18d, 18f, 19, 19b, 19c, 19d, 19e, 20, 21 AufenthG"
