Stammdatenschema,Element
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00000463/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000253/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00000601/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000255/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000094/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000258/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G00002071/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G00002069/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G00001802/1.2
https://test.schema-repository.fitko.dev/schema/baukasten/S00000246/1.1,https://test.schema-repository.fitko.dev/groups/baukasten/G60000220/1.1
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000932/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000929/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00000008/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00000044/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000165/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000692/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000683/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000708/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000694/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000948/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00001128/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000962/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000682/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000703/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00001127/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/fields/baukasten/F00000035/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000931/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000691/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000934/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000930/1.0
https://test.schema-repository.fitko.dev/schema/baukasten/S00000123/1.0,https://test.schema-repository.fitko.dev/groups/baukasten/G00000643/1.0
